image_id,filename,brand,product_name,category,packaging_type,panel_type,ground_truth_status,statutory_citations,violation_details,declared_mrp,declared_net_qty,declared_usp,declared_date,manufacturer,has_consumer_care,width_px,height_px,aspect_ratio,size_kb,sha256_hash
LMP_076,photo_2026-09-21_19-56-52 (4).jpg,Unlabeled Brand,Sample Commodity 76,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,184.82,31678bca0f66890876ccc85f875eb37cf00a65e31a5a8d8793859cd85c3f466b
LMP_077,photo_2026-09-21_19-56-52.jpg,Unlabeled Brand,Sample Commodity 77,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,231.99,443ccfb73e1de43b97e685d028d257e8c9a28bd9fed08c34112ffe45097cb19d
LMP_078,photo_2026-09-21_19-56-53 (2).jpg,Unlabeled Brand,Sample Commodity 78,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,218.85,1f0c9ac160dabb9c4b66f46df6ef9245a262083121525bc4cb533855aff481d5
LMP_079,photo_2026-09-21_19-56-53.jpg,Unlabeled Brand,Sample Commodity 79,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,195.37,6acd608d9a0687f03356c6146c5e4d59efc1c19cd59ff5e67fe345060df33950
LMP_080,photo_2026-09-21_19-56-54 (2).jpg,Unlabeled Brand,Sample Commodity 80,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,310.11,7f6155cea3460e9c14a14ef2ba728183d913fcddd9906e9c591a2025081a7aa0
LMP_081,photo_2026-09-21_19-56-54 (3).jpg,Unlabeled Brand,Sample Commodity 81,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,227.55,c0cd4daa64a72be10bb0da3fa351c1ea8afe62acd8f970f98c26e31392a61b14
LMP_082,photo_2026-09-21_19-56-54.jpg,Unlabeled Brand,Sample Commodity 82,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,323.42,bc52f8379aa864c831e5ccaea6da9c2fe1c5fe9da1daab745635a73a91378d85
LMP_083,photo_2026-09-21_19-56-55 (2).jpg,Unlabeled Brand,Sample Commodity 83,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,187.16,e46f1515c1fb4dc9c53701c87ddae72bcd98af72d2230f566f08cb1506c76fa3
LMP_084,photo_2026-09-21_19-56-55 (3).jpg,Unlabeled Brand,Sample Commodity 84,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,205.62,77302db3045f231253bf5f59ba070c659ef6446cfb9341c24a7f2071772f0b12
LMP_085,photo_2026-09-21_19-56-55.jpg,Unlabeled Brand,Sample Commodity 85,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,183.39,a2e4d9a47f2e4aa8516149d20c771834d207426dd43a66a56fca55e078f320fe
LMP_086,photo_2026-09-21_19-56-56 (2).jpg,Unlabeled Brand,Sample Commodity 86,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,222.84,6c2ef9c244fbec555d78440ca16e19d2e03bef9c8b8fbd87c0f96ccacf85ea70
LMP_087,photo_2026-09-21_19-56-56 (3).jpg,Unlabeled Brand,Sample Commodity 87,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,222.23,43938a47d41bb30bb113cd5ae5b22de81f1ced8b0bfbf8e1b451620c091d2795
LMP_088,photo_2026-09-21_19-56-56.jpg,Unlabeled Brand,Sample Commodity 88,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,223.34,ba306a7b44ca8e356a8b3612744f624e64511ee2344091065b3afabd598026e6
LMP_089,photo_2026-09-21_19-56-57 (2).jpg,Unlabeled Brand,Sample Commodity 89,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,212.62,8fdc3c2ae5177a91a1cb4fb0d2d7c6a6e4cf42ba0c90be23b3615c28cc2ff3ea
LMP_090,photo_2026-09-21_19-56-57 (3).jpg,Unlabeled Brand,Sample Commodity 90,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,120.17,a63dbdb79bd555522010f68de54c9fda947944e5258f986aadf105c2a1680f6d
LMP_091,photo_2026-09-21_19-56-57 (4).jpg,Unlabeled Brand,Sample Commodity 91,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,137.65,559ae39f5a3a737d6918cfeb01fc63e663d2da05729d2c101fffc0457a0af82f
LMP_092,photo_2026-09-21_19-56-57.jpg,Unlabeled Brand,Sample Commodity 92,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,1280,960,1.333,195.42,f9a912b34d90ffd0e8eccacb5221a9ca58ce4725b3587c7c47fcf566cef4a367
LMP_093,photo_2026-09-21_19-56-58.jpg,Unlabeled Brand,Sample Commodity 93,General Packaged Commodity,Flexible Pouch / Carton,Field Capture,PENDING_ANNOTATION,TBD,New field capture from mobile device; pending annotation,,,,,,,960,1280,0.75,120.83,bd7268af2dfa2cb49089c6034321904b5e2ebe97ee6daf65c2ebaa7aee5bc687
